ticker,date,open,high,low,close
CYPH,2025-11-13,1.43,1.98,1.34,1.76
CYPH,2025-11-14,2.06,3.55,1.8901,2.75
CYPH,2025-11-17,3.04,3.42,2.4,2.435
CYPH,2025-11-18,2.28,3.09,2.24,2.97
CYPH,2025-11-19,3.165,3.3699,2.7,2.94
CYPH,2025-11-20,3.14,3.6999,2.8,2.94
CYPH,2025-11-21,2.89,2.92,2.17,2.28
CYPH,2025-11-24,2.305,2.43,1.75,1.84
CYPH,2025-11-25,1.67,1.72,1.44,1.48
CYPH,2025-11-26,1.64,1.8,1.46,1.7
CYPH,2025-11-28,1.66,1.74,1.53,1.53
CYPH,2025-12-01,1.37,1.48,1.2,1.23
CYPH,2025-12-02,1.26,1.43,1.13,1.17
CYPH,2025-12-03,1.2,1.33,1.11,1.31
CYPH,2025-12-04,1.25,1.42,1.21,1.27
CYPH,2025-12-05,1.3,1.33,1.1,1.11
CYPH,2025-12-08,1.2,1.3799,1.1601,1.17
CYPH,2025-12-09,1.24,1.67,1.18,1.62
CYPH,2025-12-10,1.58,1.62,1.435,1.44
CYPH,2025-12-11,1.54,1.61,1.4,1.58
CYPH,2025-12-12,1.64,1.65,1.41,1.44
CYPH,2025-12-15,1.41,1.43,1.17,1.2
CYPH,2025-12-16,1.16,1.29,1.16,1.215
CYPH,2025-12-17,1.22,1.26,0.9333,0.981
CYPH,2025-12-18,1.01,1.07,0.8825,0.93505
CYPH,2025-12-19,1.03,1.31,1.0,1.3
CYPH,2025-12-22,1.29,1.318,1.07,1.1
CYPH,2025-12-23,1.11,1.18,1.04,1.18
CYPH,2025-12-24,1.17,1.23,1.1,1.17
CYPH,2025-12-26,1.19,1.22,1.11,1.2
CYPH,2025-12-29,1.28,1.31,1.16,1.18
CYPH,2025-12-30,1.2,1.3408,1.16,1.305
CYPH,2025-12-31,1.3,1.305,1.12,1.16
CYPH,2026-01-02,1.13,1.17,1.03,1.13
CYPH,2026-01-05,1.1399,1.17,1.06,1.145
CYPH,2026-01-06,1.2,1.235,1.1,1.19
CYPH,2026-01-07,1.14,1.18,1.08,1.1
CYPH,2026-01-08,0.96,1.18,0.941001,1.16
CYPH,2026-01-09,1.14,1.2,1.075,1.08
CYPH,2026-01-12,1.07,1.15,1.035,1.11
CYPH,2026-01-13,1.12,1.13,1.0001,1.04
CYPH,2026-01-14,1.05,1.27,1.01,1.14
CYPH,2026-01-15,1.165,1.215,1.08,1.1
CYPH,2026-01-16,1.07,1.095,1.02,1.06
CYPH,2026-01-20,0.9185,0.9185,0.8627,0.9185
CYPH,2026-01-21,0.9417,1.02,0.8961,0.921
CYPH,2026-01-22,0.93,0.9465,0.8606,0.9137
CYPH,2026-01-23,0.94,0.94,0.82,0.8329
CYPH,2026-01-26,0.809,0.845,0.78,0.8249
CYPH,2026-01-27,0.8399,0.8859,0.7501,0.8706
CYPH,2026-01-28,0.85,0.87,0.7827,0.7956
CYPH,2026-01-29,0.69251,0.69251,0.6814,0.69251
CYPH,2026-01-30,0.6933,0.769,0.6933,0.747
CYPH,2026-02-02,0.7285,0.8145,0.7285,0.763
CYPH,2026-02-03,0.7432,0.7616,0.69,0.7075
CYPH,2026-02-04,0.7132,0.7399,0.691,0.72005
CYPH,2026-02-05,0.695,0.72,0.6085,0.6086
CYPH,2026-02-06,0.6397,0.7699,0.6397,0.69395
CYPH,2026-02-09,0.69,0.7112,0.6311,0.6929
CYPH,2026-02-10,0.657,0.68,0.612,0.6179
CYPH,2026-02-11,0.62,0.6599,0.584725,0.6177
CYPH,2026-02-12,0.59,0.6258,0.5701,0.6045
CYPH,2026-02-13,0.5982,0.8018,0.5982,0.7099
CYPH,2026-02-17,0.7197,0.7399,0.6504,0.7153
CYPH,2026-02-18,0.7,0.729,0.6,0.6376
CYPH,2026-02-19,0.6273,0.6939,0.6,0.6689
CYPH,2026-02-20,0.65,0.6776,0.6211,0.6697
CYPH,2026-02-23,0.635,0.66,0.6203,0.6465
CYPH,2026-02-24,0.618,0.6554,0.6017,0.6324
CYPH,2026-02-25,0.6409,0.73,0.6409,0.6854
CYPH,2026-02-26,0.6668,0.6952,0.62,0.6804
CYPH,2026-02-27,0.66,0.66,0.61,0.624
CYPH,2026-03-02,0.6,0.6756,0.6,0.6508
CYPH,2026-03-03,0.6133,0.65,0.6,0.6157
CYPH,2026-03-04,0.6404,0.7443,0.6218,0.72
CYPH,2026-03-05,0.671,0.68,0.6041,0.6159
CYPH,2026-03-06,0.589,0.5898,0.5,0.5153
CYPH,2026-03-09,0.5221,0.5678,0.5203,0.5401
CYPH,2026-03-10,0.555,0.5915,0.5228,0.5636
CYPH,2026-03-11,0.5678,0.6199,0.551001,0.5823
CYPH,2026-03-12,0.561,0.635,0.5505,0.603
