ticker,date,open,high,low,close
RNGT,2025-11-24,10.0,10.03,9.8977,10.0
RNGT,2025-11-25,10.0,10.02,10.0,10.02
RNGT,2025-11-26,10.02,10.05,10.0,10.0
RNGT,2025-11-28,9.995,9.995,9.99,9.99
RNGT,2025-12-01,9.99,10.0002,9.99,9.99
RNGT,2025-12-02,10.01,10.03,10.0,10.0
RNGT,2025-12-04,10.0,10.0,10.0,10.0
RNGT,2025-12-05,10.02,10.02,10.01,10.01
RNGT,2025-12-09,10.0,10.0,10.0,10.0
RNGT,2025-12-10,10.0,10.0,10.0,10.0
RNGT,2025-12-11,10.0,10.0,10.0,10.0
RNGT,2025-12-15,10.0,10.0,9.98,10.0
RNGT,2025-12-16,9.98,9.98,9.98,9.98
RNGT,2025-12-17,9.98,9.98,9.98,9.98
RNGT,2025-12-18,9.98,9.99,9.97,9.97
RNGT,2025-12-19,9.97,9.97,9.97,9.97
RNGT,2025-12-23,9.97,9.97,9.95,9.97
RNGT,2025-12-24,9.98,9.98,9.98,9.98
RNGT,2025-12-26,9.98,9.98,9.98,9.98
RNGT,2025-12-29,9.96,9.96,9.96,9.96
RNGT,2025-12-30,9.98,9.98,9.98,9.98
RNGT,2026-01-02,9.98,9.99,9.98,9.99
RNGT,2026-01-05,9.97,9.97,9.94,9.94
RNGT,2026-01-06,9.94,9.94,9.94,9.94
RNGT,2026-01-07,9.95,9.95,9.93,9.94
RNGT,2026-01-08,9.94,9.94,9.935,9.94
RNGT,2026-01-09,9.95,9.95,9.95,9.95
RNGT,2026-01-12,9.95,9.95,9.95,9.95
RNGT,2026-01-13,9.95,9.95,9.94,9.94
RNGT,2026-01-14,9.96,9.98,9.96,9.98
RNGT,2026-01-15,9.98,9.98,9.97,9.98
RNGT,2026-01-16,10.0,10.0,10.0,10.0
RNGT,2026-01-22,9.97,9.97,9.97,9.97
RNGT,2026-01-23,9.97,9.99,9.97,9.98
RNGT,2026-01-26,9.98,9.98,9.98,9.98
RNGT,2026-01-27,9.98,9.98,9.98,9.98
RNGT,2026-01-28,9.98,10.0,9.98,9.99
RNGT,2026-01-29,9.99,9.99,9.99,9.99
RNGT,2026-01-30,9.99,9.99,9.99,9.99
RNGT,2026-02-02,9.99,10.005,9.99,10.005
RNGT,2026-02-03,10.01,10.03,9.99,10.03
RNGT,2026-02-04,10.03,10.05,10.01,10.05
RNGT,2026-02-05,10.03,10.03,9.99,9.99
RNGT,2026-02-06,9.99,9.99,9.99,9.99
RNGT,2026-02-09,10.05,10.05,9.98,9.98
RNGT,2026-02-10,10.05,10.05,10.015,10.02
RNGT,2026-02-11,10.05,10.05,10.02,10.02
RNGT,2026-02-12,10.0,10.0,9.97,9.97
RNGT,2026-02-13,10.03,10.03,9.98,9.98
RNGT,2026-02-17,10.01,10.01,10.01,10.01
RNGT,2026-02-18,10.01,10.01,10.01,10.01
RNGT,2026-02-19,10.03,10.03,10.0,10.005
RNGT,2026-02-20,9.985,9.985,9.95,9.985
RNGT,2026-02-24,10.0,10.0,10.0,10.0
RNGT,2026-02-25,10.0,10.0,10.0,10.0
RNGT,2026-02-27,10.0,10.01,10.0,10.01
RNGT,2026-03-02,9.99,9.99,9.99,9.99
RNGT,2026-03-03,10.01,10.01,9.98,9.98
RNGT,2026-03-04,9.96,10.01,9.9,9.96
RNGT,2026-03-05,9.97,9.97,9.96,9.97
RNGT,2026-03-06,9.97,9.97,9.97,9.97
RNGT,2026-03-09,9.99,9.99,9.99,9.99
RNGT,2026-03-10,9.985,9.99,9.97,9.97
RNGT,2026-03-11,10.0,10.0,10.0,10.0
RNGT,2026-03-12,9.98,9.995,9.98,9.995
