ticker,date,open,high,low,close
PEW,2025-07-16,14.9,15.2,12.3,13.12
PEW,2025-07-17,11.9,11.96,9.24,10.12
PEW,2025-07-18,10.5,11.1983,9.85,10.01
PEW,2025-07-21,10.04,10.04,7.62,8.35
PEW,2025-07-22,8.6,8.95,8.16,8.31
PEW,2025-07-23,8.21,8.2999,7.83,7.89
PEW,2025-07-24,7.84,8.1,7.165,7.31
PEW,2025-07-25,7.21,7.7,6.71,6.78
PEW,2025-07-28,6.825,7.25,6.4395,6.7
PEW,2025-07-29,6.75,7.13,6.0748,6.2
PEW,2025-07-30,6.02,6.19,5.85,6.13
PEW,2025-07-31,6.16,6.74,6.15,6.41
PEW,2025-08-01,6.25,6.84,6.14,6.38
PEW,2025-08-04,6.88,7.19,6.31,7.17
PEW,2025-08-05,7.14,7.18,6.61,6.76
PEW,2025-08-06,6.7286,6.82,6.3701,6.69
PEW,2025-08-07,6.73,6.74,6.16,6.3
PEW,2025-08-08,6.25,6.38,5.97,6.09
PEW,2025-08-11,6.115,6.36,6.1,6.16
PEW,2025-08-12,6.195,6.52,6.01,6.38
PEW,2025-08-13,6.429,6.86,6.32,6.7
PEW,2025-08-14,6.67,6.9125,6.5,6.55
PEW,2025-08-15,6.0,6.0532,5.2,5.35
PEW,2025-08-18,5.27,5.32,5.0155,5.02
PEW,2025-08-19,5.025,5.35,4.88,5.34
PEW,2025-08-20,5.3,5.3399,4.99,5.15
PEW,2025-08-21,5.34,5.6598,5.31,5.45
PEW,2025-08-22,5.5,5.73,5.34,5.67
PEW,2025-08-25,5.7,5.75,5.41,5.41
PEW,2025-08-26,5.4,5.73,5.3823,5.53
PEW,2025-08-27,5.51,5.75,5.48,5.5
PEW,2025-08-28,5.54,5.78,5.5,5.53
PEW,2025-08-29,5.55,5.56,5.32,5.32
PEW,2025-09-02,5.22,5.41,5.16,5.25
PEW,2025-09-03,5.25,5.48,5.25,5.31
PEW,2025-09-04,5.3935,5.75,5.29,5.62
PEW,2025-09-05,5.67,5.86,5.5302,5.81
PEW,2025-09-08,5.825,5.87,5.59,5.7
PEW,2025-09-09,5.65,6.12,5.545,6.08
PEW,2025-09-10,6.17,6.66,5.9,6.65
PEW,2025-09-11,6.73,6.735,6.08,6.1
PEW,2025-09-12,6.06,6.1099,5.85,6.01
PEW,2025-09-15,6.05,6.05,5.46,5.46
PEW,2025-09-16,5.51,5.61,5.36,5.52
PEW,2025-09-17,5.57,5.7286,5.48,5.55
PEW,2025-09-18,5.72,5.8,5.6,5.75
PEW,2025-09-19,5.74,5.777,5.42,5.53
PEW,2025-09-22,5.46,5.62,5.31,5.61
PEW,2025-09-23,5.6344,5.82,5.52,5.6
PEW,2025-09-24,5.64,5.74,5.49,5.5
PEW,2025-09-25,5.46,5.46,5.05,5.13
PEW,2025-09-26,5.15,5.19,4.987,5.0
PEW,2025-09-29,4.99,5.04,4.51,4.55
PEW,2025-09-30,4.58,4.775,4.34,4.66
PEW,2025-10-01,4.67,4.7626,4.55,4.6
PEW,2025-10-02,4.82,5.13,4.6901,4.88
PEW,2025-10-03,4.93,5.15,4.7862,4.96
PEW,2025-10-06,5.01,5.23,4.94,5.03
PEW,2025-10-07,5.05,5.0685,4.86,4.89
PEW,2025-10-08,4.91,4.92,4.77,4.85
PEW,2025-10-09,4.98,4.98,4.7,4.76
PEW,2025-10-10,4.8,4.87,4.55,4.55
PEW,2025-10-13,4.6,4.67,4.54,4.63
PEW,2025-10-14,4.57,4.7248,4.54,4.7
PEW,2025-10-15,4.75,4.85,4.595,4.73
PEW,2025-10-16,4.75,4.84,4.56,4.56
PEW,2025-10-17,4.5604,4.65,4.26,4.37
PEW,2025-10-20,4.4152,4.63,4.37,4.55
PEW,2025-10-21,4.5,4.58,4.41,4.51
PEW,2025-10-22,4.52,4.57,4.351,4.49
PEW,2025-10-23,4.4875,4.71,4.4494,4.66
PEW,2025-10-24,4.7399,4.88,4.6125,4.86
PEW,2025-10-27,4.891,4.97,4.69,4.79
PEW,2025-10-28,4.752,4.9,4.68,4.83
PEW,2025-10-29,4.815,5.18,4.7376,4.83
PEW,2025-10-30,4.76,4.7889,4.52,4.58
PEW,2025-10-31,4.58,4.62,4.452,4.6
PEW,2025-11-03,4.5001,4.545,4.43,4.45
PEW,2025-11-04,4.375,4.54,4.3,4.36
PEW,2025-11-05,4.37,4.58,4.33,4.54
PEW,2025-11-06,4.46,4.5,4.295,4.31
PEW,2025-11-07,4.27,4.41,4.17,4.34
PEW,2025-11-10,4.4,4.4517,4.29,4.42
PEW,2025-11-11,4.34,4.41,4.275,4.35
PEW,2025-11-12,4.35,4.445,4.28,4.3
PEW,2025-11-13,4.27,4.29,4.0735,4.15
PEW,2025-11-14,3.83,4.0,3.51,3.78
PEW,2025-11-17,3.72,3.96,3.7,3.76
PEW,2025-11-18,3.71,3.776,3.6,3.71
PEW,2025-11-19,3.93,3.97,3.595,3.65
PEW,2025-11-20,3.68,3.845,3.58,3.63
PEW,2025-11-21,3.7017,3.745,3.261,3.37
PEW,2025-11-24,3.435,3.51,3.31,3.37
PEW,2025-11-25,3.365,3.52,3.29,3.44
PEW,2025-11-26,3.44,3.53,3.41,3.45
PEW,2025-11-28,3.475,3.54,3.45,3.5
PEW,2025-12-01,3.42,3.43,3.33,3.37
PEW,2025-12-02,3.35,3.405,3.305,3.32
PEW,2025-12-03,3.365,3.59,3.34,3.56
PEW,2025-12-04,3.59,3.64,3.425,3.62
PEW,2025-12-05,3.6,3.6,3.46,3.52
PEW,2025-12-08,3.55,3.5705,3.45,3.53
PEW,2025-12-09,3.52,3.52,3.45,3.52
PEW,2025-12-10,3.51,3.6,3.48,3.52
PEW,2025-12-11,3.48,3.53,3.415,3.45
PEW,2025-12-12,3.4797,3.53,3.4,3.43
PEW,2025-12-15,3.45,3.45,3.22,3.25
PEW,2025-12-16,3.25,3.27,3.1345,3.21
PEW,2025-12-17,3.24,3.3,3.1,3.16
PEW,2025-12-18,3.19,3.21,3.05,3.15
PEW,2025-12-19,3.1499,3.19,3.095,3.15
PEW,2025-12-22,3.13,3.17,3.02,3.05
PEW,2025-12-23,3.03,3.11,3.0,3.05
PEW,2025-12-24,3.0485,3.12,3.0,3.09
PEW,2025-12-26,3.09,3.09,3.03,3.06
PEW,2025-12-29,3.0499,3.13,3.04,3.07
PEW,2025-12-30,3.08,3.175,3.06,3.09
PEW,2025-12-31,3.07,3.12,3.0,3.01
PEW,2026-01-02,3.09,3.1124,3.005,3.04
PEW,2026-01-05,3.05,3.26,3.05,3.18
PEW,2026-01-06,3.16,3.25,3.11,3.16
PEW,2026-01-07,3.15,3.225,3.114,3.2
PEW,2026-01-08,3.23,3.2782,3.15,3.15
PEW,2026-01-09,3.205,3.84,3.205,3.72
PEW,2026-01-12,3.7,3.8,3.51,3.74
PEW,2026-01-13,3.7896,3.7999,3.485,3.54
PEW,2026-01-14,3.5,3.695,3.47,3.62
PEW,2026-01-15,3.62,3.62,2.735,3.19
PEW,2026-01-16,3.16,3.28,3.12,3.19
