ticker,date,open,high,low,close
XYZ,2025-01-27,84.51,87.43,84.25,85.01
XYZ,2025-01-28,85.48,88.71,84.36,88.64
XYZ,2025-01-29,88.365,90.77,87.96,90.03
XYZ,2025-01-30,91.59,94.25,91.11,92.95
XYZ,2025-01-31,93.35,93.75,90.31,90.82
XYZ,2025-02-03,88.64,91.29,87.71,90.2
XYZ,2025-02-04,90.2,90.23,85.89,86.17
XYZ,2025-02-05,86.33,87.815,85.38,86.0
XYZ,2025-02-06,87.35,88.13,85.22,86.08
XYZ,2025-02-07,87.63,88.73,84.95,85.32
XYZ,2025-02-10,86.44,86.78,84.26,84.85
XYZ,2025-02-11,85.0,85.3283,82.34,82.59
XYZ,2025-02-12,81.27,83.06,81.1,82.99
XYZ,2025-02-13,83.89,85.09,82.45,84.29
XYZ,2025-02-14,84.18,84.53,82.23,84.0
XYZ,2025-02-18,84.555,85.15,83.2,84.18
XYZ,2025-02-19,83.45,84.52,82.55,83.89
XYZ,2025-02-20,84.34,85.55,81.7001,83.04
XYZ,2025-02-21,74.97,76.5,67.43,68.35
XYZ,2025-02-24,68.02,68.73,65.05,65.92
XYZ,2025-02-25,66.22,66.345,62.6,62.84
XYZ,2025-02-26,63.45,65.61,63.25,65.29
XYZ,2025-02-27,65.01,66.76,64.06,64.28
XYZ,2025-02-28,63.87,65.41,63.21,65.3
XYZ,2025-03-03,65.875,66.9,62.31,62.79
XYZ,2025-03-04,60.33,61.14,57.925,59.43
XYZ,2025-03-05,59.75,61.65,59.43,61.12
XYZ,2025-03-06,59.01,60.9654,58.674,59.8
XYZ,2025-03-07,59.805,61.02,57.61,60.0
XYZ,2025-03-10,58.14,58.42,53.54,54.74
XYZ,2025-03-11,54.78,56.14,53.95,55.29
XYZ,2025-03-12,56.08,56.66,55.21,55.9
XYZ,2025-03-13,55.34,55.7,53.88,54.04
XYZ,2025-03-14,55.42,57.5209,55.3467,57.22
XYZ,2025-03-17,56.74,59.435,56.74,58.65
XYZ,2025-03-18,59.85,60.09,58.78,59.65
XYZ,2025-03-19,60.455,62.43,59.6,61.37
XYZ,2025-03-20,60.57,62.38,60.44,61.0
XYZ,2025-03-21,60.28,61.58,59.6,61.11
XYZ,2025-03-24,62.38,63.18,62.14,62.58
XYZ,2025-03-25,62.765,63.69,61.21,61.33
XYZ,2025-03-26,60.89,61.35,58.8,59.05
XYZ,2025-03-27,58.79,58.9,56.88,56.99
XYZ,2025-03-28,56.54,57.0,54.69,55.33
XYZ,2025-03-31,53.89,54.69,52.25,54.33
XYZ,2025-04-01,53.89,55.52,53.87,55.41
XYZ,2025-04-02,54.11,58.71,53.903,57.86
XYZ,2025-04-03,54.74,55.4406,52.47,53.97
XYZ,2025-04-04,50.3101,51.43,47.69,50.26
XYZ,2025-04-07,47.05,53.4081,46.42,50.47
XYZ,2025-04-08,52.93,53.339,48.13,49.08
XYZ,2025-04-09,49.05,56.77,47.95,55.99
XYZ,2025-04-10,54.88,54.88,50.93,52.91
XYZ,2025-04-11,52.825,54.15,51.01,53.94
XYZ,2025-04-14,55.31,55.7,53.64,54.66
XYZ,2025-04-15,54.82,55.85,54.58,55.08
XYZ,2025-04-16,54.31,55.42,52.77,53.75
XYZ,2025-04-17,53.69,54.4175,53.03,53.9
XYZ,2025-04-21,52.92,53.45,51.3987,52.39
