ticker,date,open,high,low,close
NXDR,2025-07-31,1.79,1.8087,1.7,1.75
NXDR,2025-08-01,1.7,1.73,1.65,1.69
NXDR,2025-08-04,1.73,1.76,1.7,1.74
NXDR,2025-08-05,1.74,1.76,1.7,1.73
NXDR,2025-08-06,1.73,1.79,1.71,1.76
NXDR,2025-08-07,1.76,1.87,1.75,1.83
NXDR,2025-08-08,1.97,2.13,1.87,2.08
NXDR,2025-08-11,1.91,1.9666,1.8,1.89
NXDR,2025-08-12,1.84,1.895,1.78,1.84
NXDR,2025-08-13,1.84,1.9,1.76,1.9
NXDR,2025-08-14,1.86,1.89,1.835,1.88
NXDR,2025-08-15,1.85,1.9,1.8411,1.85
NXDR,2025-08-18,1.86,2.04,1.855,2.01
NXDR,2025-08-19,2.02,2.06,1.96,1.98
NXDR,2025-08-20,1.97,2.005,1.88,1.9
NXDR,2025-08-21,1.89,1.93,1.84,1.91
NXDR,2025-08-22,1.92,2.08,1.91,2.06
NXDR,2025-08-25,2.055,2.09,2.01,2.02
NXDR,2025-08-26,2.01,2.09,2.01,2.05
NXDR,2025-08-27,2.0771,2.175,2.065,2.11
NXDR,2025-08-28,2.1112,2.1112,2.035,2.05
NXDR,2025-08-29,2.07,2.09,2.025,2.05
NXDR,2025-09-02,2.012,2.0353,1.99,2.01
NXDR,2025-09-03,2.03,2.15,2.02,2.07
NXDR,2025-09-04,2.0651,2.105,2.0301,2.05
NXDR,2025-09-05,2.07,2.1354,1.99,2.07
NXDR,2025-09-08,2.095,2.13,2.005,2.01
NXDR,2025-09-09,2.02,2.07,1.98,2.03
NXDR,2025-09-10,2.05,2.066,1.965,1.99
NXDR,2025-09-11,2.0194,2.09,1.98,2.05
NXDR,2025-09-12,2.1,2.1067,2.03,2.08
NXDR,2025-09-15,2.11,2.15,2.09,2.14
NXDR,2025-09-16,2.14,2.18,2.125,2.17
NXDR,2025-09-17,2.17,2.265,2.16,2.21
NXDR,2025-09-18,2.2495,2.29,2.22,2.27
NXDR,2025-09-19,2.28,2.3492,2.25,2.31
NXDR,2025-09-22,2.3,2.34,2.185,2.22
NXDR,2025-09-23,2.23,2.295,2.205,2.22
NXDR,2025-09-24,2.215,2.23,2.14,2.16
NXDR,2025-09-25,2.12,2.16,2.1,2.12
NXDR,2025-09-26,2.16,2.17,2.1,2.13
NXDR,2025-09-29,2.1351,2.17,2.1,2.12
NXDR,2025-09-30,2.12,2.12,2.03,2.09
NXDR,2025-10-01,2.078,2.09,2.02,2.02
NXDR,2025-10-02,2.04,2.17,2.0,2.14
NXDR,2025-10-03,2.15,2.15,2.05,2.06
NXDR,2025-10-06,2.07,2.1457,2.01,2.08
NXDR,2025-10-07,2.07,2.09,1.96,2.0
NXDR,2025-10-08,2.01,2.03,1.991,2.02
NXDR,2025-10-09,2.0186,2.16,2.01,2.1
NXDR,2025-10-10,2.12,2.22,2.07,2.07
NXDR,2025-10-13,2.12,2.16,2.02,2.03
NXDR,2025-10-14,1.98,2.07,1.98,2.05
NXDR,2025-10-15,2.07,2.125,2.055,2.09
NXDR,2025-10-16,2.09,2.135,2.0,2.02
NXDR,2025-10-17,2.01,2.025,1.955,1.96
NXDR,2025-10-20,1.975,2.01,1.97,2.0
NXDR,2025-10-21,2.0,2.02,1.98,2.01
NXDR,2025-10-22,1.97,1.97,1.92,1.97
NXDR,2025-10-23,1.97,2.0,1.95,1.96
NXDR,2025-10-24,1.9882,2.0299,1.9882,2.01
NXDR,2025-10-27,2.0387,2.04,1.98,1.985
NXDR,2025-10-28,1.99,1.995,1.96,1.97
NXDR,2025-10-29,1.97,2.0,1.92,1.94
NXDR,2025-10-30,1.92,1.9258,1.87,1.905
NXDR,2025-10-31,1.9,1.977241,1.89,1.95
NXDR,2025-11-03,1.96,1.96,1.9,1.92
NXDR,2025-11-04,1.88,1.89,1.8,1.81
NXDR,2025-11-05,1.81,1.8199,1.67,1.72
NXDR,2025-11-06,2.07,2.09,1.65,1.67
NXDR,2025-11-07,1.655,1.82,1.655,1.78
NXDR,2025-11-10,1.81,1.83,1.73,1.78
NXDR,2025-11-11,1.75,1.765,1.69,1.72
NXDR,2025-11-12,1.722,1.75,1.71,1.71
NXDR,2025-11-13,1.6924,1.725,1.67,1.68
NXDR,2025-11-14,1.665,1.69,1.64,1.66
NXDR,2025-11-17,1.66,1.68,1.615,1.64
NXDR,2025-11-18,1.637,1.7099,1.62,1.65
NXDR,2025-11-19,1.66,1.67,1.59,1.61
NXDR,2025-11-20,1.64,1.65,1.56,1.58
NXDR,2025-11-21,1.58,1.7,1.565,1.69
NXDR,2025-11-24,1.655,1.76,1.655,1.72
NXDR,2025-11-25,1.71,1.7475,1.71,1.73
NXDR,2025-11-26,1.725,1.76,1.725,1.75
NXDR,2025-11-28,1.749,1.785,1.745,1.75
NXDR,2025-12-01,1.74,1.78,1.72,1.72
NXDR,2025-12-02,1.74,1.765,1.72,1.72
NXDR,2025-12-03,1.73,1.775,1.72,1.75
